Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
Connor McDavid,20202021,EDM,L,C,13,9,17,26,0,10,2,5,15,4,11,0,0,1,3,48,18.8,22:29,50.9
Leon Draisaitl,20202021,EDM,L,C,13,7,16,23,11,4,1.77,2,13,4,9,1,1,0,3,35,20,22:15,58.2
Mitchell Marner,20202021,TOR,R,R,12,6,14,20,6,8,1.67,6,13,0,7,0,0,0,2,29,20.7,22:58,100
James van Riemsdyk,20202021,PHI,L,L,13,7,11,18,5,4,1.38,2,12,5,6,0,0,0,0,30,23.3,15:41,66.7
Patrick Kane,20202021,CHI,L,R,13,6,11,17,0,6,1.31,5,11,1,6,0,0,0,0,48,12.5,21:48,--
Nicklas Backstrom,20202021,WSH,L,C,12,6,11,17,0,2,1.42,4,11,2,6,0,0,0,0,30,20,19:55,43
Quinn Hughes,20202021,VAN,L,D,15,1,15,16,-12,6,1.07,1,8,0,8,0,0,0,0,39,2.6,22:09,--
Brad Marchand,20202021,BOS,L,L,11,7,8,15,6,2,1.36,4,6,2,7,1,2,0,0,32,21.9,19:52,60
Joe Pavelski,20202021,DAL,R,C,9,7,8,15,7,6,1.67,2,6,5,9,0,0,0,2,25,28,20:06,51.3
Patrice Bergeron,20202021,BOS,R,C,11,6,9,15,5,2,1.36,1,5,4,9,1,1,1,1,42,14.3,18:39,60.2
Artemi Panarin,20202021,NYR,R,L,10,5,10,15,2,0,1.5,3,9,2,6,0,0,0,0,30,16.7,21:36,0
Auston Matthews,20202021,TOR,L,C,11,10,4,14,4,0,1.27,7,11,3,3,0,0,0,4,50,20,21:42,53.7
Brock Boeser,20202021,VAN,R,R,15,9,5,14,-6,8,0.93,6,10,3,4,0,0,0,1,39,23.1,18:46,50
Jeff Petry,20202021,MTL,R,D,12,6,8,14,14,2,1.17,4,7,2,6,0,1,0,1,32,18.8,21:47,--
Mark Scheifele,20202021,WPG,R,C,11,5,9,14,-1,4,1.27,5,10,0,4,0,0,0,1,29,17.2,22:29,50.8
Mark Stone,20202021,VGK,R,R,9,3,11,14,7,9,1.56,3,11,0,3,0,0,0,2,19,15.8,18:16,57.1
Nathan MacKinnon,20202021,COL,R,C,10,2,12,14,6,2,1.4,0,8,2,6,0,0,0,0,41,4.9,20:17,47.2
Anze Kopitar,20202021,LAK,L,C,11,2,12,14,-1,2,1.27,2,6,0,8,0,0,0,1,25,8,22:04,54.8
Tyler Toffoli,20202021,MTL,R,C,12,9,4,13,8,4,1.08,5,7,2,3,2,3,0,1,42,21.4,16:40,45.5
Johnny Gaudreau,20202021,CGY,L,L,11,7,6,13,0,0,1.18,4,7,3,6,0,0,0,2,24,29.2,19:14,--
J.T. Miller,20202021,VAN,L,C,12,3,10,13,-6,8,1.08,2,6,1,7,0,0,0,1,19,15.8,19:13,50.8
Kyle Connor,20202021,WPG,L,L,11,7,5,12,-4,6,1.09,3,8,4,4,0,0,0,1,28,25,19:55,100
Joel Farabee,20202021,PHI,L,L,13,6,6,12,6,6,0.92,6,10,0,2,0,0,0,1,28,21.4,14:19,25
Bo Horvat,20202021,VAN,L,C,15,6,6,12,-6,4,0.8,3,8,3,4,0,0,0,0,31,19.4,18:52,53.4
Nikolaj Ehlers,20202021,WPG,L,L,11,6,6,12,9,0,1.09,5,10,1,2,0,0,1,2,39,15.4,17:03,--
Alex DeBrincat,20202021,CHI,R,L,9,6,6,12,3,2,1.33,3,7,3,5,0,0,1,2,34,17.7,19:06,25
John Tavares,20202021,TOR,L,C,12,5,7,12,4,6,1,1,6,4,6,0,0,0,1,33,15.2,17:56,60.8
Jordan Kyrou,20202021,STL,R,C,12,5,7,12,3,0,1,5,11,0,1,0,0,0,2,28,17.9,14:07,50
Alex Ovechkin,20202021,WSH,R,L,8,5,7,12,-2,2,1.5,4,8,1,4,0,0,1,1,32,15.6,20:10,0
Tom Wilson,20202021,WSH,R,R,10,5,7,12,1,9,1.2,4,9,1,3,0,0,0,1,19,26.3,18:17,45.5
William Nylander,20202021,TOR,R,R,12,4,8,12,2,6,1,3,7,1,5,0,0,0,0,24,16.7,16:08,57.1
Jonathan Huberdeau,20202021,FLA,L,L,9,4,8,12,-1,10,1.33,3,5,1,7,0,0,0,0,12,33.3,16:51,0
Conor Garland,20202021,ARI,R,R,11,4,8,12,6,8,1.09,3,9,1,3,0,0,0,0,44,9.1,17:10,33.3
Jakub Voracek,20202021,PHI,L,R,13,3,9,12,2,6,0.92,3,9,0,3,0,0,0,0,18,16.7,16:34,40
Nick Suzuki,20202021,MTL,R,C,12,3,9,12,6,8,1,2,7,1,4,0,1,0,0,22,13.6,18:19,39.8
Elias Lindholm,20202021,CGY,R,C,11,3,9,12,1,10,1.09,2,6,1,6,0,0,0,1,28,10.7,21:26,52.2
Cale Makar,20202021,COL,R,D,11,1,11,12,9,2,1.09,1,6,0,6,0,0,0,0,24,4.2,24:01,--
Christian Dvorak,20202021,ARI,L,C,11,6,5,11,1,6,1,3,7,3,4,0,0,0,2,24,25,18:34,51.6
Max Pacioretty,20202021,VGK,L,L,9,6,5,11,7,4,1.22,5,9,1,2,0,0,1,1,41,14.6,17:16,20
Kevin Hayes,20202021,PHI,L,C,13,6,5,11,4,2,0.85,5,9,1,2,0,0,1,1,32,18.8,18:47,49.6
Filip Forsberg,20202021,NSH,R,L,11,6,5,11,4,6,1,4,8,2,3,0,0,1,2,43,14,19:26,100
Brayden Schenn,20202021,STL,L,C,12,6,5,11,7,9,0.92,5,10,1,1,0,0,0,0,33,18.2,18:34,50.9
Ryan Nugent-Hopkins,20202021,EDM,L,C,13,5,6,11,-1,2,0.85,2,4,3,7,0,0,0,0,44,11.4,22:20,38.9
Mathew Barzal,20202021,NYI,R,C,10,4,7,11,3,24,1.1,4,8,0,3,0,0,0,0,25,16,20:17,56.9
John Carlson,20202021,WSH,R,D,12,4,7,11,-8,2,0.92,1,6,3,5,0,0,0,1,34,11.8,24:36,--
Oliver Bjorkstrand,20202021,CBJ,R,R,13,4,7,11,0,23,0.85,3,9,1,2,0,0,0,0,28,14.3,17:18,100
David Perron,20202021,STL,R,L,12,4,7,11,2,12,0.92,3,8,1,3,0,0,0,1,33,12.1,17:39,0
Aleksander Barkov,20202021,FLA,L,C,9,4,7,11,2,2,1.22,2,6,2,5,0,0,0,0,37,10.8,21:44,58
Dominik Kubalik,20202021,CHI,L,L,13,3,8,11,-1,10,0.85,0,2,3,9,0,0,0,0,40,7.5,15:31,0
Alexander Radulov,20202021,DAL,L,R,8,3,8,11,8,6,1.38,2,5,1,6,0,0,0,0,13,23.1,17:55,50
Blake Wheeler,20202021,WPG,R,R,11,3,8,11,-9,14,1,2,5,1,6,0,0,0,0,23,13,19:14,33.3
Jack Eichel,20202021,BUF,R,C,10,2,9,11,-6,2,1.1,1,4,1,7,0,0,0,1,39,5.1,21:22,54.5
Claude Giroux,20202021,PHI,R,C,13,1,10,11,4,6,0.85,1,6,0,5,0,0,0,0,18,5.6,18:36,56.5
Josh Anderson,20202021,MTL,R,R,12,8,2,10,6,10,0.83,7,9,0,0,1,1,0,3,37,21.6,14:14,0
Mikko Rantanen,20202021,COL,L,R,11,7,3,10,4,0,0.91,4,6,3,4,0,0,0,1,40,17.5,20:05,60
Andrei Svechnikov,20202021,CAR,L,R,9,6,4,10,2,8,1.11,4,7,2,3,0,0,0,0,30,20,17:39,0
Andrew Copp,20202021,WPG,L,C,11,4,6,10,4,4,0.91,3,9,1,1,0,0,0,0,34,11.8,19:44,46.9
Victor Olofsson,20202021,BUF,L,L,10,4,6,10,-6,0,1,1,2,3,8,0,0,0,0,30,13.3,17:56,--
Elias Pettersson,20202021,VAN,L,C,15,4,6,10,-3,4,0.67,2,7,2,3,0,0,0,1,35,11.4,18:25,46.5
Darnell Nurse,20202021,EDM,L,D,13,4,6,10,5,12,0.77,4,7,0,3,0,0,0,0,32,12.5,24:15,--
Steven Stamkos,20202021,TBL,R,C,9,4,6,10,4,4,1.11,1,6,3,4,0,0,0,1,28,14.3,18:52,61.3
Brayden Point,20202021,TBL,R,C,9,4,6,10,5,2,1.11,4,7,0,3,0,0,1,2,28,14.3,18:13,46.1
Victor Hedman,20202021,TBL,L,D,9,3,7,10,2,4,1.11,3,5,0,5,0,0,0,0,24,12.5,25:38,--
Jordan Greenway,20202021,MIN,L,L,11,2,8,10,8,16,0.91,2,10,0,0,0,0,0,0,16,12.5,15:52,57.1
John Klingberg,20202021,DAL,R,D,9,2,8,10,1,4,1.11,1,3,1,7,0,0,0,0,15,13.3,22:56,--
Tyson Barrie,20202021,EDM,R,D,13,1,9,10,-8,0,0.77,0,5,1,5,0,0,0,0,33,3,21:29,--
Charlie McAvoy,20202021,BOS,R,D,11,1,9,10,4,10,0.91,1,6,0,3,0,1,0,0,19,5.3,24:24,--
Morgan Rielly,20202021,TOR,L,D,12,1,9,10,-1,4,0.83,1,5,0,5,0,0,1,1,24,4.2,23:48,--
Jonathan Drouin,20202021,MTL,L,L,12,1,9,10,7,8,0.83,1,8,0,2,0,0,0,0,13,7.7,15:18,66.7
Carter Verhaeghe,20202021,FLA,L,C,9,6,3,9,4,4,1,6,9,0,0,0,0,0,2,18,33.3,17:58,62.5
Vincent Trocheck,20202021,CAR,R,C,9,6,3,9,2,2,1,4,5,2,4,0,0,0,1,32,18.8,18:26,57
Joel Eriksson Ek,20202021,MIN,L,C,11,5,4,9,8,2,0.82,5,8,0,1,0,0,0,1,31,16.1,17:09,43
Nick Schmaltz,20202021,ARI,R,C,11,5,4,9,2,2,0.82,4,6,1,3,0,0,0,1,27,18.5,16:12,46.9
Matthew Tkachuk,20202021,CGY,L,L,11,5,4,9,3,13,0.82,3,5,2,4,0,0,0,0,37,13.5,19:46,--
Adam Lowry,20202021,WPG,L,C,11,4,5,9,2,0,0.82,4,7,0,2,0,0,0,1,24,16.7,16:23,47.5
Denis Gurianov,20202021,DAL,L,R,9,4,5,9,-3,2,1,1,4,3,5,0,0,0,1,27,14.8,16:17,--
Dylan Larkin,20202021,DET,L,C,13,4,5,9,-4,13,0.69,4,6,0,3,0,0,0,0,40,10,20:46,52.1
Scott Laughton,20202021,PHI,L,C,13,4,5,9,6,10,0.69,4,9,0,0,0,0,1,1,17,23.5,15:10,40.8
Sidney Crosby,20202021,PIT,L,C,11,4,5,9,-4,6,0.82,2,5,2,4,0,0,2,2,28,14.3,20:28,56.5
Nick Ritchie,20202021,BOS,L,L,11,4,5,9,-3,4,0.82,0,2,4,7,0,0,0,0,25,16,15:46,0
Ryan O'Reilly,20202021,STL,L,C,12,3,6,9,4,6,0.75,3,7,0,2,0,0,0,1,31,9.7,20:54,61.2
Shea Theodore,20202021,VGK,L,D,9,3,6,9,7,2,1,3,7,0,2,0,0,0,0,34,8.8,22:39,--
Kirill Kaprizov,20202021,MIN,L,L,11,3,6,9,4,2,0.82,2,8,1,1,0,0,1,1,17,17.7,18:42,0
Jordan Staal,20202021,CAR,L,C,7,2,7,9,5,4,1.29,0,5,2,3,0,1,0,0,10,20,17:05,58.7
Sean Monahan,20202021,CGY,L,C,11,2,7,9,0,2,0.82,1,6,1,3,0,0,0,1,25,8,18:32,47.8
Jaden Schwartz,20202021,STL,L,L,12,2,7,9,11,8,0.75,2,8,0,1,0,0,0,0,21,9.5,18:43,50
Sebastian Aho,20202021,CAR,L,C,9,2,7,9,1,6,1,2,5,0,4,0,0,0,1,20,10,20:00,47.3
Samuel Girard,20202021,COL,L,D,11,1,8,9,4,8,0.82,1,4,0,5,0,0,0,0,18,5.6,21:39,--
Taylor Hall,20202021,BUF,L,L,10,1,8,9,-6,4,0.9,0,4,1,5,0,0,0,0,29,3.5,20:37,0
David Krejci,20202021,BOS,R,C,11,0,9,9,1,8,0.82,0,4,0,5,0,0,0,0,20,0,18:03,56.1
Travis Konecny,20202021,PHI,R,R,12,5,3,8,4,2,0.67,3,6,2,2,0,0,0,1,16,31.3,15:35,33.3
Brandon Saad,20202021,COL,L,L,11,5,3,8,-5,6,0.73,5,7,0,1,0,0,0,0,15,33.3,14:29,33.3
Logan Couture,20202021,SJS,L,C,10,5,3,8,0,2,0.8,4,6,1,2,0,0,0,0,26,19.2,20:05,48.1
Patric Hornqvist,20202021,FLA,R,R,9,5,3,8,-2,0,0.89,2,3,3,5,0,0,0,0,33,15.2,15:42,0
Miles Wood,20202021,NJD,L,L,9,5,3,8,7,11,0.89,4,7,1,1,0,0,0,1,24,20.8,14:14,--
Joonas Donskoi,20202021,COL,R,R,11,5,3,8,4,0,0.73,3,5,2,3,0,0,0,1,12,41.7,13:12,33.3
David Pastrnak,20202021,BOS,R,R,4,5,3,8,3,0,2,3,5,2,3,0,0,0,0,22,22.7,19:47,0
Tanner Pearson,20202021,VAN,L,L,15,4,4,8,-3,18,0.53,4,8,0,0,0,0,0,0,34,11.8,15:16,50
Jason Spezza,20202021,TOR,R,C,11,4,4,8,1,6,0.73,3,5,1,3,0,0,0,1,17,23.5,9:51,63.5
Dustin Brown,20202021,LAK,R,R,11,4,4,8,3,10,0.73,0,3,4,5,0,0,0,0,21,19.1,16:58,100
Kailer Yamamoto,20202021,EDM,R,R,13,4,4,8,5,12,0.62,4,7,0,0,0,1,0,0,20,20,16:08,0
Jake Guentzel,20202021,PIT,L,L,11,4,4,8,-6,8,0.73,3,6,1,2,0,0,0,1,30,13.3,20:33,0
Phil Kessel,20202021,ARI,R,R,11,4,4,8,-6,2,0.73,3,4,1,4,0,0,0,0,28,14.3,16:42,33.3
Mattias Janmark,20202021,CHI,L,C,13,4,4,8,-3,4,0.62,2,4,1,3,1,1,0,0,20,20,17:51,42.9
Dylan Strome,20202021,CHI,L,C,13,4,4,8,-3,4,0.62,1,2,3,6,0,0,0,0,25,16,17:33,46
Evander Kane,20202021,SJS,L,L,10,3,5,8,-3,20,0.8,1,4,1,3,1,1,0,0,26,11.5,18:43,56.3
Gabriel Landeskog,20202021,COL,L,L,11,3,5,8,1,8,0.73,3,7,0,1,0,0,1,2,32,9.4,20:20,64.2
Andre Burakovsky,20202021,COL,L,L,8,3,5,8,0,0,1,1,3,2,5,0,0,0,0,13,23.1,13:39,--
Jakob Chychrun,20202021,ARI,L,D,11,3,5,8,1,8,0.73,2,5,1,3,0,0,0,1,30,10,21:41,--
Pavel Buchnevich,20202021,NYR,L,R,10,3,5,8,-2,0,0.8,3,6,0,2,0,0,0,1,28,10.7,19:51,16.7
Jack Hughes,20202021,NJD,L,C,9,3,5,8,2,0,0.89,2,6,1,2,0,0,0,1,19,15.8,19:55,34.8
Alex Tuch,20202021,VGK,R,R,9,3,5,8,0,8,0.89,2,6,1,2,0,0,0,0,16,18.8,15:47,42.9
Jakub Vrana,20202021,WSH,L,L,11,3,5,8,3,4,0.73,3,6,0,2,0,0,0,1,21,14.3,15:44,100
Jonathan Marchessault,20202021,VGK,R,C,9,2,6,8,5,10,0.89,2,8,0,0,0,0,0,1,20,10,16:22,42.9
Bryan Rust,20202021,PIT,R,R,11,2,6,8,0,0,0.73,2,6,0,2,0,0,0,0,39,5.1,19:47,66.7
Anthony Cirelli,20202021,TBL,L,C,9,2,6,8,6,2,0.89,2,7,0,1,0,0,0,1,18,11.1,17:56,43.7
Ty Smith,20202021,NJD,L,D,9,2,6,8,4,8,0.89,1,6,1,2,0,0,0,0,15,13.3,16:53,--
Dougie Hamilton,20202021,CAR,R,D,9,1,7,8,5,13,0.89,1,4,0,4,0,0,0,1,24,4.2,22:05,--
Colton Parayko,20202021,STL,R,D,12,1,7,8,2,10,0.67,1,8,0,0,0,0,0,0,26,3.9,22:45,--
Torey Krug,20202021,STL,L,D,12,1,7,8,10,8,0.67,0,6,1,2,0,0,0,0,22,4.6,22:20,--
Neal Pionk,20202021,WPG,R,D,11,0,8,8,3,2,0.73,0,7,0,1,0,0,0,0,17,0,22:56,--
Jordan Eberle,20202021,NYI,R,R,10,5,2,7,0,2,0.7,4,5,1,2,0,0,0,1,28,17.9,17:31,100
Tyler Bertuzzi,20202021,DET,L,L,9,5,2,7,0,4,0.78,2,3,3,4,0,0,1,1,20,25,19:37,50
Brendan Gallagher,20202021,MTL,R,R,12,5,2,7,1,4,0.58,4,6,1,1,0,0,0,1,46,10.9,15:02,60
Adrian Kempe,20202021,LAK,L,C,11,4,3,7,-3,4,0.64,3,4,1,3,0,0,0,1,31,12.9,17:22,0
Anthony Mantha,20202021,DET,L,R,12,4,3,7,-8,4,0.58,3,6,1,1,0,0,0,0,30,13.3,17:57,50
Pius Suter,20202021,CHI,L,C,13,4,3,7,-5,0,0.54,3,5,1,2,0,0,0,1,25,16,14:22,41.8
Nick Foligno,20202021,CBJ,L,L,13,4,3,7,1,9,0.54,3,4,1,2,0,1,0,0,22,18.2,16:58,52.4
Mike Hoffman,20202021,STL,L,C,11,4,3,7,4,2,0.64,4,6,0,1,0,0,0,0,30,13.3,14:52,0
Bobby Ryan,20202021,DET,R,R,12,4,3,7,-3,17,0.58,4,6,0,1,0,0,0,0,24,16.7,16:19,28.6
Alexandre Texier,20202021,CBJ,L,C,13,4,3,7,-3,8,0.54,4,7,0,0,0,0,0,0,23,17.4,17:27,37
Tomas Tatar,20202021,MTL,L,L,12,3,4,7,0,6,0.58,2,5,1,2,0,0,0,1,19,15.8,15:07,42.9
Thomas Chabot,20202021,OTT,L,D,11,3,4,7,-3,18,0.64,2,5,1,2,0,0,0,0,28,10.7,24:47,--
Tomas Hertl,20202021,SJS,L,C,10,3,4,7,-6,4,0.7,1,3,2,4,0,0,0,0,16,18.8,19:16,51
Brady Tkachuk,20202021,OTT,L,L,12,3,4,7,-5,20,0.58,3,5,0,2,0,0,0,0,51,5.9,17:51,45
Nazem Kadri,20202021,COL,L,C,11,3,4,7,-6,8,0.64,1,4,2,3,0,0,0,1,33,9.1,16:54,56.7
Mikael Backlund,20202021,CGY,L,C,11,3,4,7,-2,8,0.64,3,5,0,2,0,0,0,0,27,11.1,17:05,49.2
Mason Appleton,20202021,WPG,R,C,11,3,4,7,6,4,0.64,3,6,0,0,0,1,0,0,20,15,12:50,54.6
Nils Hoglander,20202021,VAN,L,L,15,3,4,7,-2,4,0.47,3,7,0,0,0,0,0,1,25,12,14:17,--
Zach Hyman,20202021,TOR,R,L,12,3,4,7,7,12,0.58,1,4,2,3,0,0,0,0,31,9.7,19:42,30.4
Drew Doughty,20202021,LAK,R,D,11,3,4,7,-5,4,0.64,1,3,2,4,0,0,0,0,21,14.3,27:15,--
Shea Weber,20202021,MTL,R,D,12,2,5,7,3,8,0.58,0,1,2,6,0,0,0,1,20,10,23:55,--
Roope Hintz,20202021,DAL,L,L,7,2,5,7,-3,2,1,0,0,2,7,0,0,0,0,13,15.4,18:22,43.7
Viktor Arvidsson,20202021,NSH,R,R,11,2,5,7,3,8,0.64,1,5,1,2,0,0,0,0,39,5.1,17:40,14.3
Josh Norris,20202021,OTT,L,C,12,2,5,7,-4,2,0.58,0,2,2,5,0,0,0,0,23,8.7,15:51,48.8
Keith Yandle,20202021,FLA,L,D,9,2,5,7,0,12,0.78,1,1,1,6,0,0,0,0,19,10.5,17:30,--
Ivan Provorov,20202021,PHI,L,D,13,2,5,7,6,4,0.54,2,4,0,3,0,0,0,1,19,10.5,26:00,--
T.J. Oshie,20202021,WSH,R,R,11,2,5,7,-5,10,0.64,0,4,2,3,0,0,0,0,16,12.5,18:39,48.7
Jesperi Kotkaniemi,20202021,MTL,L,C,12,1,6,7,6,4,0.58,1,6,0,1,0,0,0,0,24,4.2,13:28,44.4
Adam Fox,20202021,NYR,R,D,10,1,6,7,3,4,0.7,0,2,1,5,0,0,0,0,22,4.6,24:29,--
Erik Gustafsson,20202021,PHI,L,D,11,0,7,7,1,0,0.64,0,4,0,3,0,0,0,0,11,0,17:34,--
Miro Heiskanen,20202021,DAL,L,D,9,0,7,7,2,2,0.78,0,5,0,2,0,0,0,0,9,0,22:53,--
Tyler Motte,20202021,VAN,L,C,15,5,1,6,-1,12,0.4,5,6,0,0,0,0,0,1,29,17.2,16:02,37.9
Patrik Laine,20202021,"WPG,CBJ",R,R,4,5,1,6,-1,8,1.5,4,4,1,2,0,0,1,1,9,55.6,18:37,50
Max Comtois,20202021,ANA,L,L,13,5,1,6,1,6,0.46,5,5,0,1,0,0,0,0,25,20,14:09,33.3
Ondrej Palat,20202021,TBL,L,L,9,4,2,6,2,4,0.67,2,4,2,2,0,0,0,0,15,26.7,17:03,--
Ryan Strome,20202021,NYR,R,C,10,4,2,6,4,2,0.6,4,5,0,0,0,1,0,1,23,17.4,19:29,40.5
Tim Stützle,20202021,OTT,L,L,9,4,2,6,-7,2,0.67,2,4,2,2,0,0,0,0,13,30.8,14:16,50
Anders Lee,20202021,NYI,L,L,10,4,2,6,2,4,0.6,1,3,3,3,0,0,0,1,34,11.8,18:37,52.5
Philipp Kurashev,20202021,CHI,L,C,12,4,2,6,-3,2,0.5,3,4,1,2,0,0,0,0,17,23.5,12:42,46.9
Ryan Donato,20202021,SJS,L,C,10,3,3,6,-6,4,0.6,2,4,1,2,0,0,0,0,20,15,15:06,45.5
Mikael Granlund,20202021,NSH,L,C,8,3,3,6,2,0,0.75,3,6,0,0,0,0,0,0,20,15,20:47,58.8
William Karlsson,20202021,VGK,L,C,9,3,3,6,3,0,0.67,3,5,0,1,0,0,0,1,20,15,18:36,54
Jamie Benn,20202021,DAL,L,L,5,3,3,6,5,9,1.2,3,6,0,0,0,0,0,0,14,21.4,15:49,47.2
Boone Jenner,20202021,CBJ,L,C,13,3,3,6,-6,2,0.46,3,6,0,0,0,0,0,0,21,14.3,16:58,57.3
Aaron Ekblad,20202021,FLA,R,D,9,3,3,6,-1,13,0.67,1,2,2,4,0,0,0,0,25,12,25:01,--
Brent Burns,20202021,SJS,R,D,10,3,3,6,-4,8,0.6,2,4,1,2,0,0,0,1,30,10,27:32,--
Clayton Keller,20202021,ARI,L,R,11,3,3,6,4,8,0.55,2,5,1,1,0,0,0,1,26,11.5,16:17,20
Sam Reinhart,20202021,BUF,R,R,8,3,3,6,-7,0,0.75,1,3,2,3,0,0,0,1,19,15.8,20:41,50
